12,Arizona State,31,20,11,0.645,11.46,8.1,11,7,13,3,6,5,73.8,26.3,61.4,0.429,7.32,22.7,0.323,13.8,19.9,0.695,10.1,36,11.1,8.03,3.35,13.2,18.6,,
13,Arizona,32,21,11,0.656,19.49,8.4,10,8,13,4,4,6,76.4,26.6,59.5,0.446,7.28,20.7,0.352,16,21.8,0.732,10.9,37.4,15.4,6.75,3.72,11.8,18.5,,
14,Little Rock,31,21,10,0.677,2.27,-1.07,15,5,13,2,8,8,73.2,25.1,53.3,0.47,6.06,17.5,0.346,17,24,0.71,9.9,35.4,14.9,6.9,3.65,15.5,18.6,,
15,Arkansas-Pine Bluff,30,4,26,0.133,-21.65,-6.41,3,15,2,8,2,18,53.8,19.6,49.4,0.396,3.77,14.3,0.263,10.9,18.5,0.588,8.9,31.3,9.6,7.2,3.23,17.7,20.6,,
16,Arkansas State,32,16,16,0.5,-2.92,-0.72,8,12,10,7,6,9,70.7,23.4,53.7,0.437,5.75,17,0.338,18.1,25.4,0.71,9.88,32.9,13.8,6.88,2.66,13,20.5,,
17,Arkansas,32,20,12,0.625,13.46,7.27,7,11,14,4,4,8,75.8,25.3,57,0.443,7.59,22.8,0.334,17.7,24.3,0.731,7.47,31.6,11.9,7.91,3.88,11.5,19.9,,
18,Army,30,15,15,0.5,-9.1,-6.68,10,8,9,6,6,9,70.9,27.4,58.1,0.471,7.17,21.5,0.333,9.03,14.7,0.615,6.7,33.9,16.2,5.57,1.63,11.8,14.8,,
19,Auburn,31,25,6,0.806,15.04,7.39,12,6,16,1,5,5,78,26.1,60.3,0.433,8.13,26.6,0.306,17.8,26.4,0.674,13.6,40.8,12.8,6.42,4.87,12.9,19.2,,
20,Austin Peay,33,21,12,0.636,-0.98,-4.14,14,4,14,0,5,10,76.3,27,58.9,0.459,6.76,19.5,0.346,15.5,21.7,0.716,11.8,36,13.2,6.61,3.03,12.8,18.3,,
21,Ball State,31,18,13,0.581,4.12,-1.65,11,7,11,4,5,7,69.5,24.2,56.6,0.427,9.13,27.2,0.336,12.1,17.4,0.693,8.77,36.1,13.5,6.65,3.39,13.3,16,,
22,Baylor,30,26,4,0.867,20.13,9.13,15,3,14,1,8,2,71.1,25.4,59.3,0.429,7.67,21.9,0.351,12.6,18.3,0.69,12.9,36.9,13.8,8.13,4.4,11.9,17,,
23,Belmont,33,26,7,0.788,4.3,-6.23,15,3,13,1,11,5,79.6,29.9,62.8,0.475,9.7,27.5,0.352,10.2,14.2,0.713,8.79,37.3,18.3,7.55,3.21,11.9,15.1,,
24,Bethune-Cookman,30,16,14,0.533,-10.16,-8.98,10,6,10,1,4,13,74.6,26.1,61.4,0.425,6.13,19.2,0.319,16.4,23.4,0.7,11.8,39.2,12.1,7.23,2.97,15.5,19.7,,
25,Binghamton,29,10,19,0.345,-15.03,-4.62,4,12,7,7,3,12,69.4,24.7,60.3,0.41,9.59,28.9,0.331,10.4,14.4,0.724,9.59,34.9,11.7,5.21,3.03,12.3,16.5,,
26,Boise State,32,20,12,0.625,8.59,4.39,11,7,13,2,4,8,75.9,25.9,57.9,0.447,8.41,24.4,0.344,15.7,20.9,0.751,8.91,34.8,13,5.69,1.44,12.5,17.2,,
27,Boston College,32,13,19,0.406,1.82,7.86,7,13,8,10,4,8,64.6,23.2,57.6,0.402,7.19,23.3,0.308,11,16.8,0.659,9.41,33.1,12.6,7.66,2.56,13.7,15.8,,
28,Boston University,34,21,13,0.618,-1.87,-5.3,12,6,12,3,9,8,70.9,27,58.8,0.46,6.59,20.2,0.326,10.2,15.9,0.644,10.1,36.1,12.6,5.5,2.26,11.3,15.1,,
29,Bowling Green State,31,21,10,0.677,0.47,0.2,12,6,13,2,5,5,74.5,26.5,63.5,0.418,7.81,23.1,0.338,13.7,18.2,0.752,11.3,39.9,12.3,5.45,2.29,11.1,17.6,,
30,Bradley,34,23,11,0.676,5.33,0.33,11,7,15,2,4,8,71.7,25.6,58.1,0.441,6.76,18.2,0.372,13.6,18.6,0.735,11.1,38.5,13.4,4.79,4.06,11.8,16.5,,
31,Brigham Young,32,24,8,0.75,16.93,6.45,13,3,14,1,6,5,79.6,29.7,59.3,0.5,10.4,24.5,0.423,9.94,14.2,0.7,6.53,33.2,17.3,5.81,2.09,11,16,,
32,Brown,27,15,12,0.556,-4.45,-1.72,8,6,10,4,5,8,67,23.2,58.4,0.397,6.78,22.2,0.305,13.9,19,0.73,12.3,38.3,11.3,6.63,4.37,15,16.7,,
33,Bryant,32,15,17,0.469,-6.7,-6.67,7,11,9,5,6,12,71,25.1,60.4,0.415,8.41,26.2,0.321,12.4,18.4,0.677,12.2,40.3,13.8,6.47,4.38,14.4,18.4,,
34,Bucknell,34,14,20,0.412,-7.73,-4.32,8,10,9,4,4,14,67.6,24.1,57.2,0.422,8.21,23.9,0.343,11.2,16.3,0.687,8.41,32.4,12.1,7.15,3.44,13.3,18.6,,
35,Buffalo,32,20,12,0.625,1.8,0.06,11,7,10,7,7,4,78.6,29,66.8,0.433,8.16,25.3,0.323,12.5,18.7,0.671,14.5,42,14.8,7.78,4.59,13.7,18.8,,
36,Butler,31,22,9,0.71,15.56,9.14,10,8,14,3,5,6,68.5,25,54.4,0.46,6.84,20,0.341,11.6,16,0.728,9.03,34.8,12.7,5.32,2.65,11.3,16.7,,
37,Cal Poly,30,7,23,0.233,-10,-0.42,4,12,7,6,0,15,67.6,23.7,56.2,0.421,6.67,19.1,0.349,13.6,19.6,0.693,8.13,32.6,10.4,6.4,2.47,13.6,21,,
