197,Navy,30,14,16,0.467,-7.36,-5.74,8,10,10,5,4,11,64.1,23.1,53,0.435,7.37,21.7,0.339,10.6,15.7,8.13,31.6,13,5.9,4.17,11.5,16.8,,
198,Omaha,32,16,16,0.5,-5.09,-0.96,9,7,12,2,4,12,76.9,27.6,61.4,0.449,8.72,24.5,0.356,13,17.7,9.69,36.1,14.8,5.59,3.25,11.6,16.2,,
199,Nebraska,32,7,25,0.219,2.41,10.66,2,18,5,11,0,12,78.1,29.9,66.4,0.45,8.63,25.9,0.333,9.66,14.5,12.9,45.1,15.6,5.66,5.22,13.8,16.7,,
200,Nevada-Las Vegas,32,17,15,0.531,6.79,4.76,12,6,12,6,5,7,70.1,23.1,54.8,0.421,7.88,23.5,0.335,16.1,22.3,8.47,32.5,13.8,6.25,3.38,12,18.4,,
201,Nevada,31,19,12,0.613,8.91,4.14,12,6,12,3,4,7,72.4,24.3,60.2,0.404,7.94,26.6,0.298,15.8,22,9.58,35.6,12.4,4.77,2.58,10.9,16.5,,
202,New Hampshire,30,15,15,0.5,-7.6,-6.28,8,8,10,3,5,12,66.3,22.6,56.5,0.4,6.67,21.5,0.31,14.5,21.1,7.7,35.1,9.17,6.2,2.9,12,17.3,,
203,New Mexico State,31,25,6,0.806,4.11,-4.24,16,0,13,1,9,3,59.7,21.2,50.1,0.423,6.1,18.9,0.323,11.2,15.3,6.48,27.2,10,6.06,1.97,13.8,18.3,,
204,New Mexico,33,19,14,0.576,3.47,2.63,7,11,15,3,2,9,75.2,27.8,61.8,0.45,9.12,26.3,0.346,10.5,15.2,11,35.9,16.3,7.03,2.58,14.7,19.2,,
205,New Orleans,30,9,21,0.3,-14.08,-4.73,5,15,6,8,3,13,77.4,27.4,56.6,0.485,6.7,19.3,0.347,15.9,21.7,10.3,34,15.3,6.53,4.17,16,19.4,,
206,Niagara,32,12,20,0.375,-11.02,-4.33,9,11,9,3,2,17,72.4,26.3,57.8,0.455,8.44,23.7,0.356,11.3,16,12.1,39.6,16.3,4.75,3.44,13.9,15.3,,
207,Nicholls State,31,21,10,0.677,-3.87,-6.02,15,5,13,1,7,8,69.2,23.9,55.3,0.433,5.71,18.6,0.307,15.6,21.6,10.8,36.3,13.1,6.42,2.68,18.5,16.5,,
208,NJIT,30,9,21,0.3,-10.14,-4.83,6,10,5,7,4,14,67.7,24.1,54.7,0.44,6.57,19.3,0.34,13,17.9,8.67,35.9,12.5,5.23,3.6,12.3,16.4,,
209,Norfolk State,31,16,15,0.516,-7.76,-9.39,12,4,11,2,4,12,64.9,21.6,54.1,0.4,6.65,22.1,0.301,15,21.7,9.87,35.3,13,5.61,3.13,16,17.7,,
210,North Alabama,30,13,17,0.433,-9,-5.82,8,8,9,4,4,13,69.7,24.2,55.2,0.438,6.27,18.6,0.336,15.1,21.7,9.23,34.4,10.6,5.6,3.73,14,18.9,,
211,North Carolina-Asheville,31,15,16,0.484,-10.31,-8.31,8,10,10,5,5,10,74.8,27.2,53.9,0.505,6.26,16.8,0.372,14.1,21.4,8.97,35.9,13.8,4.77,2.77,16.6,18.3,,
212,North Carolina A&T,32,17,15,0.531,-9.66,-7.86,12,4,11,1,4,12,72,24.8,59.7,0.416,6.63,23,0.288,15.7,24.8,11.8,39.8,13.1,6.66,3.28,16.4,20.2,,
213,North Carolina Central,31,18,13,0.581,-10.04,-8.86,13,3,12,0,5,13,66,23.4,56.5,0.413,6.61,21.9,0.301,12.6,18.2,11.4,35.2,11.9,6.06,3,17.2,16.8,,
214,North Carolina-Greensboro,32,23,9,0.719,5.92,-1.48,13,5,14,4,9,4,63.1,21.8,51.5,0.424,7.06,20.5,0.345,12.4,18.4,8.59,34,10.8,5.78,2.47,18,16.5,,
215,North Carolina State,32,20,12,0.625,12.05,7.14,10,10,14,4,5,7,69.7,24.8,58,0.426,6.03,19.1,0.316,14.2,20.6,11.3,37.1,10.8,6.66,3.41,14.2,16.8,,
216,North Carolina-Wilmington,32,10,22,0.313,-9.31,-0.9,5,13,8,8,1,12,71.7,25.9,58.5,0.443,7.31,22.6,0.324,12.5,18.3,10,36.6,12.7,6.47,2.56,13,16.5,,
217,North Carolina,33,14,19,0.424,9.45,10.05,6,14,7,8,3,9,72.8,25.5,60.6,0.422,8.39,25,0.336,13.3,17.7,8.97,34.3,13.8,6.94,4.18,11.5,18.7,,
218,North Dakota State,33,25,8,0.758,2.19,-3.94,13,3,13,1,8,6,66.2,24.9,57.2,0.435,5.82,17.9,0.325,10.5,14.6,6.33,32,9.52,4.61,2.88,10.2,16.8,,
219,North Dakota,33,15,18,0.455,-6.24,-1.38,7,9,8,3,4,13,74.8,27.5,60.6,0.454,7.15,19.5,0.366,12.6,17.1,8.52,33,12.2,6.61,2.7,10.9,18.5,,
220,North Florida,33,21,12,0.636,-0.57,-3.25,13,3,13,2,7,9,73.2,28.3,61.3,0.461,4.76,15,0.318,11.8,16.9,11.2,36.2,14.8,5.7,2.85,11.4,15.4,,
221,North Texas,31,20,11,0.645,7.32,1.66,14,4,13,3,7,6,63.3,21.6,51.2,0.423,6.48,18.6,0.348,13.5,19.5,9,29.3,10.2,7.1,3.03,13.7,16.7,,
222,Northeastern,33,17,16,0.515,1.45,-3.28,9,9,7,6,7,7,66.4,24,52.9,0.454,6.61,20.1,0.328,11.7,16.2,7.52,30.1,10.4,5.24,2.36,13.1,15.3,,
223,Northern Arizona,30,16,14,0.533,-4.65,-2.4,10,10,9,5,6,8,69.4,25.5,55.8,0.456,7.3,20.5,0.356,11.1,15.2,8.13,33.1,13.2,5.3,2.57,13,16.7,,
224,Northern Colorado,31,22,9,0.71,5.72,-2.8,15,5,11,3,9,5,62.7,24.7,56,0.442,3.65,13,0.28,9.61,13.8,7.52,32.2,8.13,4.61,2.87,11.2,15.2,,
225,Northern Illinois,31,18,13,0.581,-1.33,-2.16,11,7,11,4,7,9,64.5,22.3,55.5,0.402,7.39,24.2,0.305,12.5,17.3,8.65,34.3,11.5,4.9,3.19,11.5,16.5,,
226,Northern Iowa,31,25,6,0.806,9.83,1.45,14,4,16,0,8,4,64.7,24,57.4,0.418,7.19,21.6,0.333,9.58,14,8.03,30.4,10.5,6.74,2.39,10.4,15.2,,
227,Northern Kentucky,32,23,9,0.719,0.28,-4.65,13,5,11,4,10,5,65.3,23.9,57.8,0.414,5.78,19.8,0.293,11.6,17.4,11.3,37,12.5,5.5,2,14.5,18.6,,
228,Northwestern State,30,15,15,0.5,-10,-7.07,11,9,9,5,5,10,75.7,25.8,63,0.409,7.63,22.3,0.342,16.5,23.2,12.9,37.8,13.9,8.27,2.57,13.7,18.5,,
